,Bigram,Count,Frequency
0,Я ,49,0.0033999444907021927
1, щ,52,0.0036081043574798777
2,щі,4,0.0002775464890369137
3,іл,41,0.0028448515126283653
4,ль,30,0.0020815986677768525
5,ьн,9,0.0006244796003330558
6,но,81,0.005620316402997502
7,о ,245,0.016999722453510963
8, п,155,0.010754926450180405
9,пр,48,0.0033305578684429643
10,ри,60,0.004163197335553705
11,ич,11,0.0007632528448515126
12,чи,32,0.0022203719122953097
13,ин,52,0.0036081043574798777
14,ни,67,0.004648903691368304
15,ив,52,0.0036081043574798777
16,в ,60,0.004163197335553705
17, д,112,0.007771301693033583
18,дв,8,0.0005550929780738274
19,ве,29,0.002012212045517624
20,ер,68,0.004718290313627533
21,рі,40,0.002775464890369137
22,і ,208,0.014432417429919511
23, о,64,0.004440743824590619
24,од,65,0.004510130446849847
25,д ,36,0.002497918401332223
26, с,199,0.013807937829586456
27,св,39,0.0027060782681099086
28,во,70,0.0048570635581459895
29,ог,66,0.004579517069109076
30,го,91,0.006314182625589786
31, к,81,0.005620316402997502
32,ка,71,0.004926450180405218
33,аб,25,0.0017346655564807105
34,бі,25,0.0017346655564807105
35,ін,41,0.0028448515126283653
36,не,138,0.009575353871773521
37,ет,24,0.0016652789342214821
38,ту,36,0.002497918401332223
39,у ,187,0.012975298362475714
40, Я,45,0.0031223980016652788
41, н,193,0.013391618096031085
42,е ,233,0.01616708298640022
43, м,164,0.011379406050513461
44,мо,86,0.005967249514293644
45,ож,23,0.0015958923119622536
46,жу,19,0.00131834582292534
47, я,99,0.006869275603663613
48,я ,153,0.010616153205661949
49, р,65,0.004510130446849847
50,іш,6,0.00041631973355537054
51,шу,5,0.0003469331112961421
52,уч,15,0.0010407993338884263
53,че,28,0.0019428254232583958
54, ч,42,0.0029142381348875937
55,чу,43,0.002983624757146822
56,ут,35,0.0024285317790729948
57,ти,108,0.00749375520399667
58,и ,207,0.014363030807660283
59, т,138,0.009575353871773521
60,то,78,0.005412156536219817
61, з,143,0.009922286983069665
62,зд,15,0.0010407993338884263
63,ду,32,0.0022203719122953097
64,уш,11,0.0007632528448515126
65,ше,17,0.0011795725784068832
66,ен,97,0.0067305023591451565
67,з ,46,0.003191784623924507
68,ис,52,0.0036081043574798777
69,ви,68,0.004718290313627533
70,ст,96,0.006661115736885929
71,ом,66,0.004579517069109076
72,м ,75,0.005203996669442132
73, в,171,0.01186511240632806
74,ві,72,0.004995836802664446
75,ід,34,0.0023591451568137664
76,дд,4,0.0002775464890369137
77,ди,65,0.004510130446849847
78,их,34,0.0023591451568137664
79,ху,6,0.00041631973355537054
80,що,45,0.0031223980016652788
81,да,34,0.0023591451568137664
82,ає,48,0.0033305578684429643
83,єт,14,0.0009714127116291979
84,ть,123,0.008534554537885096
85,ьс,36,0.002497918401332223
86,ся,57,0.00395503746877602
87,сп,26,0.0018040521787399389
88,по,84,0.005828476269775187
89,ов,74,0.005134610047182903
90,вн,16,0.0011101859561476548
91,ня,22,0.0015265056897030252
92,яв,1,6.938662225922843e-05
93,со,10,0.0006938662225922842
94,об,30,0.0020815986677768525
95,бо,24,0.0016652789342214821
96,ою,33,0.002289758534554538
97,ю ,108,0.00749375520399667
98,ес,15,0.0010407993338884263
99,сь,72,0.004995836802664446
100,ь ,169,0.011726339161809603
101,ді,19,0.00131834582292534
102,ім,5,0.0003469331112961421
103, Т,7,0.00048570635581459895
104,Та,3,0.00020815986677768527
105,ам,38,0.00263669164585068
106, у,43,0.002983624757146822
107, ж,44,0.0030530113794060504
108,жі,10,0.0006938662225922842
109,нч,1,6.938662225922843e-05
110,ні,97,0.0067305023591451565
111,ій,23,0.0015958923119622536
112,й ,100,0.006938662225922842
113,па,36,0.002497918401332223
114,ал,66,0.004579517069109076
115,вм,7,0.00048570635581459895
116,ми,59,0.004093810713294477
117,ир,14,0.0009714127116291979
118,ра,52,0.0036081043574798777
119,є ,56,0.0038856508465167916
120,оя,15,0.0010407993338884263
121,ит,93,0.006452955870108243
122,на,133,0.00922842076047738
123,а ,213,0.014779350541215654
124, х,45,0.0031223980016652788
125,хо,30,0.0020815986677768525
126,дж,9,0.0006244796003330558
127,му,31,0.002150985290036081
128,вж,8,0.0005550929780738274
129,же,33,0.002289758534554538
130,тр,41,0.0028448515126283653
131,ре,32,0.0022203719122953097
132,тю,3,0.00020815986677768527
133, б,78,0.005412156536219817
134,бе,15,0.0010407993338884263
135,ез,14,0.0009714127116291979
136,зс,2,0.00013877324451845685
137,он,60,0.004163197335553705
138,нн,19,0.00131834582292534
139,ну,36,0.002497918401332223
140,іч,20,0.0013877324451845685
141,ч ,6,0.00041631973355537054
142,тк,11,0.0007632528448515126
143,ки,65,0.004510130446849847
144,ий,35,0.0024285317790729948
145,як,51,0.0035387177352206494
146,к ,62,0.004301970580072162
147,ас,29,0.002012212045517624
148,ро,85,0.005897862892034416
149,оє,14,0.0009714127116291979
150,єн,1,6.938662225922843e-05
151, а,29,0.002012212045517624
152,ар,17,0.0011795725784068832
153,рф,1,6.938662225922843e-05
154,фа,2,0.00013877324451845685
155, г,70,0.0048570635581459895
156,гу,5,0.0003469331112961421
157,ру,42,0.0029142381348875937
158,ун,12,0.0008326394671107411
159,ко,64,0.004440743824590619
160,жн,5,0.0003469331112961421
161,ух,15,0.0010407993338884263
162,іт,41,0.0028448515126283653
163,ря,21,0.0014571190674437969
164, М,9,0.0006244796003330558
165,Мо,7,0.00048570635581459895
