,Letter,Count,Frequency
0,Я,57,0.00395503746877602
1, ,2426,0.16833194560088816
2,щ,59,0.004093810713294477
3,і,558,0.03871773522064946
4,л,417,0.02893422148209825
5,ь,251,0.017416042187066334
6,н,660,0.04579517069109076
7,о,1049,0.07278656674993061
8,п,259,0.01797113516514016
9,р,406,0.02817096863724674
10,и,728,0.05051346100471829
11,ч,187,0.012975298362475714
12,в,461,0.0319872328615043
13,д,327,0.022689425478767695
14,е,605,0.041978906466833193
15,с,484,0.03358312517346656
16,г,183,0.0126977518734388
17,к,398,0.027615875659172912
18,а,790,0.05481543158479045
19,б,185,0.012836525117957258
20,т,633,0.04392173189009159
21,у,432,0.02997502081598668
22,м,410,0.02844851512628365
23,ж,130,0.009020260893699695
24,я,283,0.019636414099361642
25,ш,77,0.0053427699139605885
26,з,226,0.015681376630585622
27,х,138,0.009575353871773521
28,є,84,0.005828476269775187
29,ю,154,0.010685539827921177
30,Т,7,0.00048570635581459895
31,й,131,0.009089647515958922
32,ф,5,0.0003469331112961421
33,М,11,0.0007632528448515126
34,П,8,0.0005550929780738274
35,ц,51,0.0035387177352206494
36,З,5,0.0003469331112961421
37,ї,92,0.006383569247849014
38,О,10,0.0006938662225922842
39,Ч,8,0.0005550929780738274
40,С,14,0.0009714127116291979
41,К,12,0.0008326394671107411
42,"
",47,0.003261171246183736
43,Н,18,0.0012489592006661116
44,У,2,0.00013877324451845685
45,В,25,0.0017346655564807105
46,Р,3,0.00020815986677768527
47,Д,4,0.0002775464890369137
48,Щ,16,0.0011101859561476548
49,Х,14,0.0009714127116291979
50,Ї,2,0.00013877324451845685
51,Ц,2,0.00013877324451845685
52,І,20,0.0013877324451845685
53,Б,1,6.938662225922843e-05
54,e,13,0.0009020260893699694
55,Л,1,6.938662225922843e-05
56,Г,7,0.00048570635581459895
57,А,3,0.00020815986677768527
58,Є,1,6.938662225922843e-05
59,Ф,2,0.00013877324451845685
