,Trigram,Count,Frequency
0,Я щ,1,6.938662225922843e-05
1, щі,4,0.0002775464890369137
2,щіл,1,6.938662225922843e-05
3,іль,12,0.0008326394671107411
4,льн,9,0.0006244796003330558
5,ьно,2,0.00013877324451845685
6,но ,41,0.0028448515126283653
7,о п,12,0.0008326394671107411
8, пр,42,0.0029142381348875937
9,при,16,0.0011101859561476548
10,рич,5,0.0003469331112961421
11,ичи,3,0.00020815986677768527
12,чин,8,0.0005550929780738274
13,ини,12,0.0008326394671107411
14,нив,1,6.938662225922843e-05
15,ив ,5,0.0003469331112961421
16,в д,4,0.0002775464890369137
17, дв,7,0.00048570635581459895
18,две,4,0.0002775464890369137
19,вер,7,0.00048570635581459895
20,ері,8,0.0005550929780738274
21,рі ,9,0.0006244796003330558
22,і о,11,0.0007632528448515126
23, од,23,0.0015958923119622536
24,од ,16,0.0011101859561476548
25,д с,6,0.00041631973355537054
26, св,37,0.0025673050235914515
27,сво,13,0.0009020260893699694
28,вог,7,0.00048570635581459895
29,ого,54,0.003746877601998335
30,го ,48,0.0033305578684429643
31,о к,10,0.0006938662225922842
32, ка,19,0.00131834582292534
33,каб,3,0.00020815986677768527
34,абі,3,0.00020815986677768527
35,бін,3,0.00020815986677768527
36,іне,8,0.0005550929780738274
37,нет,7,0.00048570635581459895
38,ету,3,0.00020815986677768527
39,ту ,22,0.0015265056897030252
40,у Я,8,0.0005550929780738274
41, Я ,38,0.00263669164585068
42,Я н,11,0.0007632528448515126
43, не,85,0.005897862892034416
44,не ,82,0.005689703025256731
45,е м,24,0.0016652789342214821
46, мо,68,0.004718290313627533
47,мож,13,0.0009020260893699694
48,ожу,5,0.0003469331112961421
49,жу ,16,0.0011101859561476548
50,у я,10,0.0006938662225922842
51, я ,43,0.002983624757146822
52,я р,3,0.00020815986677768527
53, рі,4,0.0002775464890369137
54,ріш,1,6.938662225922843e-05
55,ішу,1,6.938662225922843e-05
56,шуч,1,6.938662225922843e-05
57,уче,5,0.0003469331112961421
58,че ,10,0.0006938662225922842
59,е н,16,0.0011101859561476548
60,у ч,3,0.00020815986677768527
61, чу,17,0.0011795725784068832
62,чут,7,0.00048570635581459895
63,ути,13,0.0009020260893699694
64,ти ,42,0.0029142381348875937
65,и т,11,0.0007632528448515126
66, то,28,0.0019428254232583958
67,тог,11,0.0007632528448515126
68,о з,19,0.00131834582292534
69, зд,11,0.0007632528448515126
70,зду,3,0.00020815986677768527
71,душ,10,0.0006938662225922842
72,уше,4,0.0002775464890369137
73,шен,5,0.0003469331112961421
74,ено,4,0.0002775464890369137
75,ног,9,0.0006244796003330558
76, з ,31,0.002150985290036081
77,з п,3,0.00020815986677768527
78,рис,7,0.00048570635581459895
79,исв,1,6.938662225922843e-05
80,сви,10,0.0006938662225922842
81,вис,15,0.0010407993338884263
82,ист,18,0.0012489592006661116
83,сто,13,0.0009020260893699694
84,том,10,0.0006938662225922842
85,ом ,27,0.0018734388009991674
86,м в,5,0.0003469331112961421
87, ві,17,0.0011795725784068832
88,від,11,0.0007632528448515126
89,ідд,2,0.00013877324451845685
90,дди,2,0.00013877324451845685
91,дих,8,0.0005550929780738274
92,иху,1,6.938662225922843e-05
93,ху ,4,0.0002775464890369137
94,у щ,8,0.0005550929780738274
95, що,42,0.0029142381348875937
96,що ,35,0.0024285317790729948
97,зда,8,0.0005550929780738274
98,дає,13,0.0009020260893699694
99,аєт,13,0.0009020260893699694
100,єть,12,0.0008326394671107411
101,тьс,35,0.0024285317790729948
102,ься,35,0.0024285317790729948
103,ся ,56,0.0038856508465167916
104,я с,8,0.0005550929780738274
105, сп,21,0.0014571190674437969
106,спо,9,0.0006244796003330558
107,пов,14,0.0009714127116291979
108,овн,4,0.0002775464890369137
109,вня,2,0.00013877324451845685
110,няв,1,6.938662225922843e-05
111,яв ,1,6.938662225922843e-05
112,в с,6,0.00041631973355537054
113, со,6,0.00041631973355537054
114,соб,3,0.00020815986677768527
115,обо,3,0.00020815986677768527
116,бою,3,0.00020815986677768527
117,ою ,32,0.0022203719122953097
118,ю в,9,0.0006244796003330558
119, ве,11,0.0007632528448515126
120,вес,4,0.0002775464890369137
121,есь,5,0.0003469331112961421
122,сь ,66,0.004579517069109076
123,ь д,8,0.0005550929780738274
124, ді,4,0.0002775464890369137
125,дім,2,0.00013877324451845685
126,ім ,4,0.0002775464890369137
127,м Т,2,0.00013877324451845685
128, Та,3,0.00020815986677768527
129,Там,1,6.938662225922843e-05
130,ам ,7,0.00048570635581459895
131,м у,1,6.938662225922843e-05
132, у ,26,0.0018040521787399389
133,у ж,4,0.0002775464890369137
134, жі,10,0.0006938662225922842
135,жін,10,0.0006938662225922842
136,інч,1,6.938662225922843e-05
137,нчи,1,6.938662225922843e-05
138,ині,6,0.00041631973355537054
139,ній,5,0.0003469331112961421
140,ій ,15,0.0010407993338884263
141,й с,12,0.0008326394671107411
142,спа,8,0.0005550929780738274
143,пал,12,0.0008326394671107411
144,аль,10,0.0006938662225922842
145,ьні,5,0.0003469331112961421
146,ні ,64,0.004440743824590619
147,і в,19,0.00131834582292534
148, вм,5,0.0003469331112961421
149,вми,6,0.00041631973355537054
150,мир,5,0.0003469331112961421
151,ира,8,0.0005550929780738274
152,рає,6,0.00041631973355537054
153,ає ,33,0.002289758534554538
154,є м,9,0.0006244796003330558
155,моя,11,0.0007632528448515126
156,оя ,14,0.0009714127116291979
157,я д,9,0.0006244796003330558
158, ди,35,0.0024285317790729948
159,дит,22,0.0015265056897030252
160,ити,29,0.002012212045517624
161,тин,21,0.0014571190674437969
162,ина,12,0.0008326394671107411
163,на ,72,0.004995836802664446
164,а Я,3,0.00020815986677768527
165,Я х,1,6.938662225922843e-05
166, хо,16,0.0011101859561476548
167,ход,10,0.0006938662225922842
168,одж,5,0.0003469331112961421
169,джу,7,0.00048570635581459895
170,у п,7,0.00048570635581459895
171, по,65,0.004510130446849847
172,по ,7,0.00048570635581459895
173,о с,29,0.002012212045517624
174,вом,2,0.00013877324451845685
175,ому,22,0.0015265056897030252
176,му ,21,0.0014571190674437969
177,у к,4,0.0002775464890369137
178,у х,3,0.00020815986677768527
179,у в,13,0.0009020260893699694
180, вж,6,0.00041631973355537054
181,вже,6,0.00041631973355537054
182,же ,27,0.0018734388009991674
183,е т,19,0.00131834582292534
184, тр,14,0.0009714127116291979
185,тре,4,0.0002775464890369137
186,рет,2,0.00013877324451845685
187,етю,1,6.938662225922843e-05
188,тю ,3,0.00020815986677768527
189,ю б,5,0.0003469331112961421
190, бе,8,0.0005550929780738274
191,без,8,0.0005550929780738274
192,езс,1,6.938662225922843e-05
193,зсо,1,6.938662225922843e-05
194,сон,3,0.00020815986677768527
195,онн,3,0.00020815986677768527
196,нну,1,6.938662225922843e-05
197,ну ,22,0.0015265056897030252
198,у н,13,0.0009020260893699694
199, ні,17,0.0011795725784068832
200,ніч,10,0.0006938662225922842
201,іч ,4,0.0002775464890369137
202,ч ч,1,6.938662225922843e-05
203,утк,5,0.0003469331112961421
204,тки,2,0.00013877324451845685
