,Bigram,Count,Frequency
0,За,2,0.0022148394241417496
1,ад,6,0.006644518272425249
2,ди,7,0.007751937984496124
3,ив,7,0.007751937984496124
4,вл,1,0.0011074197120708748
5,ля,2,0.0022148394241417496
6,яю,1,0.0011074197120708748
7,юс,3,0.0033222591362126247
8,сь,2,0.0022148394241417496
9,ь ,10,0.01107419712070875
10, у,1,0.0011074197120708748
11,у ,3,0.0033222591362126247
12, т,13,0.014396456256921373
13,тв,8,0.008859357696566999
14,во,11,0.012181616832779624
15,ої,2,0.0022148394241417496
16,ї ,2,0.0022148394241417496
17, з,10,0.01107419712070875
18,зі,3,0.0033222591362126247
19,ін,1,0.0011074197120708748
20,ни,5,0.005537098560354375
21,иц,2,0.0022148394241417496
22,ці,4,0.004429678848283499
23,"і
",10,0.01107419712070875
24,"
Г",2,0.0022148394241417496
25,Го,1,0.0011074197120708748
26,ол,5,0.005537098560354375
27,лу,2,0.0022148394241417496
28,уб,1,0.0011074197120708748
29,бі,5,0.005537098560354375
30,і ,11,0.012181616832779624
31, й,2,0.0022148394241417496
32,й ,9,0.009966777408637873
33,тр,1,0.0011074197120708748
34,ри,4,0.004429678848283499
35,ож,1,0.0011074197120708748
36,жн,1,0.0011074197120708748
37,ні,5,0.005537098560354375
38, н,13,0.014396456256921373
39,іб,1,0.0011074197120708748
40,би,3,0.0033222591362126247
41,и ,16,0.017718715393133997
42, р,5,0.005537098560354375
43,ра,7,0.007751937984496124
44,ан,3,0.0033222591362126247
45,нь,2,0.0022148394241417496
46,"ь
",2,0.0022148394241417496
47,"
К",2,0.0022148394241417496
48,Кр,1,0.0011074197120708748
49,ре,1,0.0011074197120708748
50,еш,1,0.0011074197120708748
51,шу,2,0.0022148394241417496
52,ут,4,0.004429678848283499
53,ть,9,0.009966777408637873
54,з ,6,0.006644518272425249
55,их,1,0.0011074197120708748
56,х ,3,0.0033222591362126247
57, ч,2,0.0022148394241417496
58,че,3,0.0033222591362126247
59,ер,3,0.0033222591362126247
60,рв,1,0.0011074197120708748
61,он,2,0.0022148394241417496
62, б,9,0.009966777408637873
63,бл,1,0.0011074197120708748
64,ли,6,0.006644518272425249
65,ис,3,0.0033222591362126247
66,ск,1,0.0011074197120708748
67,ка,4,0.004429678848283499
68,ав,4,0.004429678848283499
69,ви,2,0.0022148394241417496
70,"
Р",4,0.004429678848283499
71,Ре,1,0.0011074197120708748
72,ев,1,0.0011074197120708748
73,лю,4,0.004429678848283499
74,юц,1,0.0011074197120708748
75,ій,3,0.0033222591362126247
76,бу,3,0.0033222591362126247
77,ун,1,0.0011074197120708748
78,нт,1,0.0011074197120708748
79,ті,4,0.004429678848283499
80,ів,4,0.004429678848283499
81,в ,4,0.004429678848283499
82, і,4,0.004429678848283499
83, п,11,0.012181616832779624
84,по,4,0.004429678848283499
85,ов,7,0.007751937984496124
86,вс,4,0.004429678848283499
87,ст,1,0.0011074197120708748
88,та,3,0.0033222591362126247
89,"
У",2,0.0022148394241417496
90,Ук,2,0.0022148394241417496
91,кр,4,0.004429678848283499
92,аї,2,0.0022148394241417496
93,їн,2,0.0022148394241417496
94,но,4,0.004429678848283499
95,о ,7,0.007751937984496124
96, Т,1,0.0011074197120708748
97,Ти,2,0.0022148394241417496
98, д,6,0.006644518272425249
99,дл,2,0.0022148394241417496
100,я ,9,0.009966777408637873
101, м,9,0.009966777408637873
102,ме,3,0.0033222591362126247
103,ен,4,0.004429678848283499
